,fname,labels,mids
0,37199,['Electric_guitar'],/m/02sgy
1,175151,['Electric_guitar'],/m/02sgy
2,253463,['Electric_guitar'],/m/02sgy
3,329838,['Electric_guitar'],/m/02sgy
4,1277,['Electric_guitar'],/m/02sgy
5,30149,['Electric_guitar'],/m/02sgy
6,331398,['Electric_guitar'],/m/02sgy
7,333246,['Electric_guitar'],/m/02sgy
8,232924,['Electric_guitar'],/m/02sgy
9,42378,['Electric_guitar'],/m/02sgy
10,168741,['Electric_guitar'],/m/02sgy
11,235579,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
12,1399,['Electric_guitar'],/m/02sgy
13,321709,['Electric_guitar'],/m/02sgy
14,271639,['Electric_guitar'],/m/02sgy
15,60696,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
16,63890,['Electric_guitar'],/m/02sgy
17,1283,['Electric_guitar'],/m/02sgy
18,317001,['Electric_guitar'],/m/02sgy
19,252854,['Electric_guitar'],/m/02sgy
20,60697,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
21,1406,['Electric_guitar'],/m/02sgy
22,15753,['Electric_guitar'],/m/02sgy
23,255812,['Electric_guitar'],/m/02sgy
24,334086,['Electric_guitar'],/m/02sgy
25,63883,['Electric_guitar'],/m/02sgy
26,321267,['Electric_guitar'],/m/02sgy
27,47864,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
28,251763,"['Electric_guitar', 'Squeak']","/m/02sgy,/m/07q6cd_"
29,1408,['Electric_guitar'],/m/02sgy
30,334089,['Electric_guitar'],/m/02sgy
31,44532,['Electric_guitar'],/m/02sgy
32,330901,['Electric_guitar'],/m/02sgy
33,1405,['Electric_guitar'],/m/02sgy
34,263455,"['Electric_guitar', 'Snare_drum', 'Hi-hat', 'Bass_drum']","/m/02sgy,/m/06rvn,/m/03qtq,/m/0bm02"
35,175152,['Electric_guitar'],/m/02sgy
36,60137,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
37,42373,['Electric_guitar'],/m/02sgy
38,364119,['Electric_guitar'],/m/02sgy
39,47852,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
40,333632,['Electric_guitar'],/m/02sgy
41,256462,['Electric_guitar'],/m/02sgy
42,277592,['Electric_guitar'],/m/02sgy
43,363056,['Electric_guitar'],/m/02sgy
44,865,['Electric_guitar'],/m/02sgy
45,363059,['Electric_guitar'],/m/02sgy
46,71134,"['Electric_guitar', 'Screech']","/m/02sgy,/m/07q8k13"
47,45584,['Electric_guitar'],/m/02sgy
48,114026,"['Electric_guitar', 'Crash_cymbal', 'Snare_drum', 'Hi-hat']","/m/02sgy,/m/0bm0k,/m/06rvn,/m/03qtq"
49,336258,['Electric_guitar'],/m/02sgy
50,104616,['Electric_guitar'],/m/02sgy
51,317000,['Electric_guitar'],/m/02sgy
52,255721,"['Electric_guitar', 'Steel_guitar_and_slide_guitar']","/m/02sgy,/m/06w87"
53,44298,['Electric_guitar'],/m/02sgy
54,328666,['Electric_guitar'],/m/02sgy
55,175196,['Electric_guitar'],/m/02sgy
56,321708,['Electric_guitar'],/m/02sgy
57,47848,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
58,401144,['Electric_guitar'],/m/02sgy
59,331397,['Electric_guitar'],/m/02sgy
60,173918,"['Electric_guitar', 'Snare_drum', 'Hi-hat', 'Bass_drum']","/m/02sgy,/m/06rvn,/m/03qtq,/m/0bm02"
61,336255,['Electric_guitar'],/m/02sgy
62,265318,['Electric_guitar'],/m/02sgy
64,16773,['Electric_guitar'],/m/02sgy
65,63884,['Electric_guitar'],/m/02sgy
66,63885,['Electric_guitar'],/m/02sgy
67,63892,['Electric_guitar'],/m/02sgy
68,316995,['Electric_guitar'],/m/02sgy
69,259663,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
70,330925,['Electric_guitar'],/m/02sgy
71,336246,['Electric_guitar'],/m/02sgy
72,82177,['Electric_guitar'],/m/02sgy
73,256506,['Electric_guitar'],/m/02sgy
74,218200,"['Electric_guitar', 'Drum', 'Bass_guitar', 'Hi-hat']","/m/02sgy,/m/026t6,/m/018vs,/m/03qtq"
75,337898,"['Electric_guitar', 'Synthesizer']","/m/02sgy,/m/0l14qv"
76,151006,['Electric_guitar'],/m/02sgy
77,368313,['Electric_guitar'],/m/02sgy
78,171353,['Electric_guitar'],/m/02sgy
79,333245,['Electric_guitar'],/m/02sgy
80,257413,"['Electric_guitar', 'Alto_saxophone', 'Bass_guitar', 'Crash_cymbal', 'Snare_drum', 'Hi-hat', 'Drum_kit']","/m/02sgy,/m/02pprs,/m/018vs,/m/0bm0k,/m/06rvn,/m/03qtq,/m/02hnl"
81,1373,['Electric_guitar'],/m/02sgy
82,328169,['Electric_guitar'],/m/02sgy
83,364793,"['Electric_guitar', 'Snare_drum', 'Hi-hat', 'Bass_drum', 'Synthesizer']","/m/02sgy,/m/06rvn,/m/03qtq,/m/0bm02,/m/0l14qv"
84,52081,['Electric_guitar'],/m/02sgy
85,330749,['Electric_guitar'],/m/02sgy
86,55083,['Electric_guitar'],/m/02sgy
87,378012,"['Electric_guitar', 'Steel_guitar_and_slide_guitar']","/m/02sgy,/m/06w87"
88,47853,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
89,47847,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
90,15752,['Electric_guitar'],/m/02sgy
91,338386,['Electric_guitar'],/m/02sgy
92,175157,['Electric_guitar'],/m/02sgy
93,121189,['Electric_guitar'],/m/02sgy
94,363058,['Electric_guitar'],/m/02sgy
95,85166,['Electric_guitar'],/m/02sgy
96,52347,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
97,276576,['Electric_guitar'],/m/02sgy
98,331352,['Electric_guitar'],/m/02sgy
99,175186,['Electric_guitar'],/m/02sgy
100,37248,['Electric_guitar'],/m/02sgy
101,18442,"['Electric_guitar', 'Walk_and_footsteps', 'Crash_cymbal', 'Engine_starting', 'Motorcycle', 'Accelerating_and_revving_and_vroom']","/m/02sgy,/m/07pbtc8,/m/0bm0k,/t/dd00130,/m/04_sv,/m/07q2z82"
102,256126,['Electric_guitar'],/m/02sgy
103,175159,['Electric_guitar'],/m/02sgy
104,175162,['Electric_guitar'],/m/02sgy
105,47866,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
106,74873,['Electric_guitar'],/m/02sgy
107,34374,['Electric_guitar'],/m/02sgy
108,260919,"['Electric_guitar', 'Snare_drum', 'Bass_drum']","/m/02sgy,/m/06rvn,/m/0bm02"
109,363060,['Electric_guitar'],/m/02sgy
110,74872,['Electric_guitar'],/m/02sgy
111,187299,"['Electric_guitar', 'Alto_saxophone', 'Bass_guitar', 'Snare_drum', 'Hi-hat', 'Bass_drum']","/m/02sgy,/m/02pprs,/m/018vs,/m/06rvn,/m/03qtq,/m/0bm02"
112,363057,['Electric_guitar'],/m/02sgy
113,265316,['Electric_guitar'],/m/02sgy
114,351176,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
115,60141,['Electric_guitar'],/m/02sgy
116,368089,['Electric_guitar'],/m/02sgy
117,401692,['Electric_guitar'],/m/02sgy
118,396473,"['Electric_guitar', 'Drum', 'Hi-hat', 'Drum_kit', 'Tambourine']","/m/02sgy,/m/026t6,/m/03qtq,/m/02hnl,/m/07brj"
119,175154,['Electric_guitar'],/m/02sgy
120,368144,['Electric_guitar'],/m/02sgy
121,118516,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
122,60139,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
123,48071,['Electric_guitar'],/m/02sgy
124,333247,['Electric_guitar'],/m/02sgy
125,235538,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
126,203649,['Electric_guitar'],/m/02sgy
127,351175,['Electric_guitar'],/m/02sgy
129,75313,['Electric_guitar'],/m/02sgy
130,1402,['Electric_guitar'],/m/02sgy
131,351177,['Electric_guitar'],/m/02sgy
132,7979,['Electric_guitar'],/m/02sgy
133,249969,"['Electric_guitar', 'Bass_guitar', 'Applause']","/m/02sgy,/m/018vs,/m/028ght"
134,24344,['Electric_guitar'],/m/02sgy
135,383494,['Electric_guitar'],/m/02sgy
136,336252,['Electric_guitar'],/m/02sgy
137,353921,['Electric_guitar'],/m/02sgy
138,60138,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
139,48076,['Electric_guitar'],/m/02sgy
140,47845,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
141,325185,"['Electric_guitar', 'Crash_cymbal', 'Snare_drum', 'Hi-hat', 'Bass_drum', 'Synthesizer']","/m/02sgy,/m/0bm0k,/m/06rvn,/m/03qtq,/m/0bm02,/m/0l14qv"
142,363061,['Electric_guitar'],/m/02sgy
143,59330,['Electric_guitar'],/m/02sgy
144,37794,['Electric_guitar'],/m/02sgy
145,63886,['Electric_guitar'],/m/02sgy
146,418423,"['Electric_guitar', 'Crash_cymbal']","/m/02sgy,/m/0bm0k"
147,334100,['Electric_guitar'],/m/02sgy
148,52083,['Electric_guitar'],/m/02sgy
149,336257,['Electric_guitar'],/m/02sgy
150,60698,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
151,434629,['Electric_guitar'],/m/02sgy
152,230362,"['Electric_guitar', 'Crash_cymbal', 'Snare_drum', 'Hi-hat', 'Drum_kit', 'Bass_drum']","/m/02sgy,/m/0bm0k,/m/06rvn,/m/03qtq,/m/02hnl,/m/0bm02"
153,175190,['Electric_guitar'],/m/02sgy
154,336256,['Electric_guitar'],/m/02sgy
155,109080,"['Electric_guitar', 'Snare_drum', 'Bass_drum', 'Synthesizer']","/m/02sgy,/m/06rvn,/m/0bm02,/m/0l14qv"
156,334088,['Electric_guitar'],/m/02sgy
157,362352,['Electric_guitar'],/m/02sgy
158,50382,"['Electric_guitar', 'Bass_guitar']","/m/02sgy,/m/018vs"
159,60695,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
160,378011,"['Electric_guitar', 'Steel_guitar_and_slide_guitar']","/m/02sgy,/m/06w87"
161,336398,"['Electric_guitar', 'Steel_guitar_and_slide_guitar']","/m/02sgy,/m/06w87"
162,47851,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
163,321265,['Electric_guitar'],/m/02sgy
164,421667,['Electric_guitar'],/m/02sgy
165,47863,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
166,52080,['Electric_guitar'],/m/02sgy
167,336245,['Electric_guitar'],/m/02sgy
168,47850,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
169,338385,['Electric_guitar'],/m/02sgy
170,110265,['Electric_guitar'],/m/02sgy
171,327843,['Electric_guitar'],/m/02sgy
172,55084,['Electric_guitar'],/m/02sgy
173,334090,['Electric_guitar'],/m/02sgy
174,74870,['Electric_guitar'],/m/02sgy
175,328665,['Electric_guitar'],/m/02sgy
176,253464,"['Electric_guitar', 'Strum']","/m/02sgy,/m/07s0s5r"
177,74874,['Electric_guitar'],/m/02sgy
178,27175,['Electric_guitar'],/m/02sgy
179,321268,['Electric_guitar'],/m/02sgy
180,66008,['Electric_guitar'],/m/02sgy
181,173989,['Coin_(dropping)'],/m/0242l
182,158971,['Coin_(dropping)'],/m/0242l
183,327556,"['Coin_(dropping)', 'Glass']","/m/0242l,/m/039jq"
184,192178,"['Coin_(dropping)', 'Cash_register', 'Printer']","/m/0242l,/m/024dl,/m/01m4t"
185,141708,['Coin_(dropping)'],/m/0242l
186,112813,['Coin_(dropping)'],/m/0242l
187,190031,"['Coin_(dropping)', 'Dishes_and_pots_and_pans']","/m/0242l,/m/04brg2"
188,59669,"['Coin_(dropping)', 'Music']","/m/0242l,/m/04rlf"
189,240273,['Coin_(dropping)'],/m/0242l
190,326627,['Coin_(dropping)'],/m/0242l
191,119558,['Coin_(dropping)'],/m/0242l
192,405427,['Coin_(dropping)'],/m/0242l
193,360681,"['Coin_(dropping)', 'Dishes_and_pots_and_pans', 'Chink_and_clink']","/m/0242l,/m/04brg2,/m/07q7njn"
194,120019,['Coin_(dropping)'],/m/0242l
195,187605,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
196,185045,['Coin_(dropping)'],/m/0242l
197,186356,['Coin_(dropping)'],/m/0242l
200,334937,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
201,213979,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
202,232557,"['Coin_(dropping)', 'Wail_and_moan']","/m/0242l,/m/07qw_06"
203,334969,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
204,403574,"['Coin_(dropping)', 'Wood']","/m/0242l,/m/083vt"
205,120034,['Coin_(dropping)'],/m/0242l
206,174629,['Coin_(dropping)'],/m/0242l
